rank,代號,名稱,收盤,市值億
706,3259,鑫創科技,16.35,11.9
707,1593,祺驊,29.8,11.8
708,8410,森田印刷,32.35,11.8
709,6578,達邦蛋白,16.3,11.7
710,7715,裕山,35.8,11.7
711,2063,世鎧精密,24.35,11.7
712,6708,天擎,40.35,11.7
713,6242,立康,36.75,11.7
714,6496,科懋,24.5,11.6
715,4402,郡都開發,17.0,11.6
716,8477,創業家,18.0,11.6
717,3128,昇銳,24.3,11.5
718,5230,雷笛克光學,20.5,11.5
719,7723,築間,23.1,11.5
720,6697,東捷資訊,41.75,11.4
721,8077,洛碁實業,51.8,11.4
722,6229,研通科技,28.15,11.4
723,5345,馥鴻,30.0,11.3
724,6160,欣技資訊,16.55,11.3
725,5223,安力-KY,25.4,11.3
726,4538,大詠城,18.9,11.2
727,3520,華盈,16.25,11.2
728,6154,順發電腦,13.9,11.1
729,4754,國碳科技,36.65,11.1
730,6140,訊達電腦,20.2,11.1
731,4745,合富-KY,14.3,11.1
732,3276,宇環科技,15.8,11.0
733,4121,優盛醫學,13.25,11.0
734,3297,杭特電子,30.5,11.0
735,4139,馬光-KY,24.4,11.0
736,6593,台灣銘板,34.4,10.9
737,8440,綠電,21.8,10.9
738,7753,星亞,43.75,10.9
739,6971,惠民實業,28.2,10.9
740,2235,謚源,30.25,10.8
741,6751,智聯服務,48.4,10.7
742,9960,邁達康,31.95,10.7
743,6929,佑全,23.7,10.7
744,8928,鉅明,21.0,10.7
745,8093,保銳科技,18.85,10.7
746,6418,詠昇,30.85,10.7
747,6130,上亞科技,22.95,10.6
748,4711,永純,17.35,10.6
749,5251,天鉞電,31.4,10.6
750,5355,佳總興業,6.36,10.6
751,3232,昱捷,22.65,10.5
752,4160,訊聯基因,39.3,10.5
753,7819,精誠金融,41.4,10.4
754,3434,哲固資訊,29.25,10.4
755,5201,凱衛資訊,27.0,10.4
756,3118,進階,31.65,10.3
757,8426,紅木-KY,20.35,10.2
758,2751,王座,51.7,10.2
759,5703,亞都麗緻,14.5,10.2
