rank,代號,名稱,比重%
567,1436,華友聯,0.0059
568,1615,大山,0.0059
569,3622,洋華,0.0059
570,6120,達運,0.0059
571,4137,麗豐-KY,0.0058
572,2013,中鋼構,0.0058
573,2102,泰豐,0.0058
574,2236,百達-KY,0.0058
575,1614,三洋電,0.0058
576,1110,東泥,0.0057
577,1618,合機,0.0056
578,2414,精技,0.0056
579,2466,冠西電,0.0056
580,2534,宏盛,0.0056
581,2852,第一保,0.0056
582,5515,建國,0.0056
583,6224,聚鼎,0.0056
584,6863,永道-KY,0.0056
585,9927,泰銘,0.0056
586,6658,聯策,0.0055
587,3004,豐達科,0.0055
588,2387,精元,0.0055
589,7730,暉盛-創,0.0054
590,9918,欣天然,0.0054
591,4540,全球傳動,0.0054
592,3528,安馳,0.0054
593,4566,時碩工業,0.0053
594,4912,聯德控股-KY,0.0053
595,6117,迎廣,0.0053
596,8105,凌巨,0.0053
597,2417,圓剛,0.0053
598,2450,神腦,0.0053
599,2465,麗臺,0.0053
600,2107,厚生,0.0053
601,1235,興泰,0.0053
602,1308,亞聚,0.0053
603,2913,農林,0.0052
604,3679,新至陞,0.0052
605,4142,國光生,0.0051
606,5531,鄉林,0.0051
607,8249,菱光,0.0051
608,1256,鮮活果汁-KY,0.0051
609,1713,國化,0.0051
610,1809,中釉,0.005
611,2114,鑫永銓,0.005
612,2816,旺旺保,0.005
613,3130,一零四,0.005
614,2397,友通,0.005
615,6933,AMAX-KY,0.005
616,6184,大豐電,0.005
617,5538,東明-KY,0.0049
618,6923,中台,0.0049
619,2459,敦吉,0.0049
620,1305,華夏,0.0049
621,1225,福懋油,0.0049
622,1342,八貫,0.0049
623,2497,怡利電,0.0048
624,6756,威鋒電子,0.0048
625,9943,好樂迪,0.0048
626,5519,隆大,0.0048
627,6585,鼎基,0.0048
628,4438,廣越,0.0048
629,8404,百和興業-KY,0.0047
630,6958,日盛台駿,0.0047
631,6834,天二科技,0.0046
632,5525,順天,0.0046
633,2228,劍麟,0.0046
634,2342,茂矽,0.0046
