代號,分類,最新月份,最新月年增%,近36月可比基數,近36月成長月數,近36月成長比率%,近12月成長,近12月樣態,連續成長月數,近36月平均年增%
2330,🟢 全期強勢,2026/05,30.1,36,30,83.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,29,25.4
2454,🔵 多數成長,2026/05,5.0,36,26,72.2,8/12,✔✗✔✔✔✔✔✗✗✔✗✔,1,12.1
2308,🟢 全期強勢,2026/05,43.7,36,30,83.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,17.4
2317,🔵 多數成長,2026/05,39.6,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,27,13.4
3711,🔵 多數成長,2026/05,28.6,36,25,69.4,11/12,✔✗✔✔✔✔✔✔✔✔✔✔,10,3.6
2327,🔵 多數成長,2026/05,47.5,36,26,72.2,11/12,✔✗✔✔✔✔✔✔✔✔✔✔,10,9.6
2881,🔵 多數成長,2026/05,300.3,36,25,69.4,7/12,✗✗✔✔✔✔✔✗✗✗✔✔,2,118.3
2383,🟢 全期強勢,2026/05,114.6,36,35,97.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,35,51.3
2303,🔵 多數成長,2026/05,17.8,36,22,61.1,9/12,✔✗✗✔✗✔✔✔✔✔✔✔,7,-0.7
2882,🟡 中性,2026/05,28.8,36,19,52.8,6/12,✗✗✔✔✔✔✗✗✗✗✔✔,2,40.8
3037,🔵 多數成長,2026/05,32.4,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,28,6.3
2408,🔵 多數成長,2026/05,730.1,36,22,61.1,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,12,131.1
2382,🔵 多數成長,2026/05,94.4,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,28,35.6
2891,🟢 全期強勢,2026/05,76.1,36,30,83.3,10/12,✔✗✔✔✔✔✔✔✔✗✔✔,2,66.9
2345,🟢 全期強勢,2026/05,56.6,36,33,91.7,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,27,63.0
7769,— 資料不足/新上市
2412,🟢 全期強勢,2026/05,5.4,36,30,83.3,11/12,✔✔✔✔✔✔✗✔✔✔✔✔,5,3.5
1303,🟡 中性,2026/05,31.4,36,17,47.2,5/12,✗✗✗✔✗✗✗✔✗✔✔✔,3,-1.8
2360,🔵 多數成長,2026/05,133.1,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,12,26.0
6669,🔵 多數成長,2026/05,18.2,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,74.5
3017,🟢 全期強勢,2026/05,60.6,36,36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,40,53.3
2344,🔵 多數成長,2026/05,182.0,36,23,63.9,10/12,✗✗✔✔✔✔✔✔✔✔✔✔,10,22.7
2885,🔵 多數成長,2026/05,227.3,36,28,77.8,10/12,✗✗✔✔✔✔✔✔✔✔✔✔,10,28.3
2887,🟢 全期強勢,2026/05,117.9,36,31,86.1,11/12,✗✔✔✔✔✔✔✔✔✔✔✔,11,49.1
2368,🟢 全期強勢,2026/05,87.3,36,30,83.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,29,36.6
5274,🟢 全期強勢,2026/05,68.7,36,29,80.6,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,29,53.5
4958,🔵 多數成長,2026/05,37.4,36,24,66.7,7/12,✔✗✗✔✗✗✔✔✗✔✔✔,3,8.4
3443,🟡 中性,2026/05,132.1,36,21,58.3,10/12,✗✗✔✔✔✔✔✔✔✔✔✔,10,26.2
3008,🔵 多數成長,2026/05,41.8,36,25,69.4,5/12,✔✗✗✗✗✗✗✔✗✔✔✔,3,14.6
2886,🔵 多數成長,2026/05,22.3,36,27,75.0,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,16.1
2059,🟢 全期強勢,2026/05,172.1,36,30,83.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,30,57.0
6223,🟢 全期強勢,2026/05,57.8,36,36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,40,27.6
2357,🟢 全期強勢,2026/05,9.3,36,32,88.9,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,29,20.1
3653,🟢 全期強勢,2026/05,37.7,36,29,80.6,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,23.1
2884,🟢 全期強勢,2026/05,24.8,36,32,88.9,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,22.2
8046,🟡 中性,2026/05,35.8,36,18,50.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,18,-2.6
2880,🟢 全期強勢,2026/05,58.3,36,31,86.1,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,12,12.2
2890,🟢 全期強勢,2026/05,82.7,36,34,94.4,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,14,24.3
6488,🔴 轉弱/衰退,2026/05,-3.3,36,11,30.6,4/12,✔✗✗✔✗✗✔✗✗✔✗✗,0,-6.7
8299,🔵 多數成長,2026/05,301.2,36,26,72.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,14,50.2
2883,🔵 多數成長,2026/05,172.7,36,22,61.1,8/12,✔✗✔✔✔✔✗✔✗✗✔✔,2,-122.3
3231,🔵 多數成長,2026/05,39.2,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,56.5
6505,🔴 轉弱/衰退,2026/05,26.9,36,11,30.6,4/12,✗✗✗✗✗✗✔✗✗✔✔✔,3,-5.8
6274,🟢 全期強勢,2026/05,124.4,36,32,88.9,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,27,36.2
2301,🟡 中性,2026/05,29.6,36,21,58.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,20,5.2
3481,🔵 多數成長,2026/05,10.3,36,24,66.7,10/12,✗✔✔✔✔✗✔✔✔✔✔✔,6,7.8
2892,🔵 多數成長,2026/05,26.9,36,25,69.4,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,6.4
1216,🟢 全期強勢,2026/05,2.7,36,31,86.1,8/12,✔✗✗✔✗✗✔✔✔✔✔✔,6,8.5
2395,🟡 中性,2026/05,32.1,36,21,58.3,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,20,4.5
2603,🟡 中性,2026/05,31.4,36,17,47.2,2/12,✗✗✗✗✗✗✗✗✗✗✔✔,2,7.7
3665,🔵 多數成長,2026/05,41.3,36,25,69.4,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,23,14.7
4904,🟢 全期強勢,2026/05,13.7,36,34,94.4,11/12,✗✔✔✔✔✔✔✔✔✔✔✔,11,8.2
5880,🔵 多數成長,2026/05,17.5,36,26,72.2,8/12,✔✗✔✔✔✔✔✗✗✗✔✔,2,9.4
2379,🔵 多數成長,2026/05,21.9,36,25,69.4,7/12,✗✗✗✔✔✔✗✔✗✔✔✔,3,10.5
6446,🟢 全期強勢,2026/05,108.5,36,36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,37,78.8
